Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredient Name,Ingredient Category,Ingredient In Stock
Thai Lime–Garlic Cabbage Salad,Thai,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Cucumber Peanut Salad,Myanmar,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Spinach,Vegetables,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Onion,Vegetables,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Green Chilies,Spices,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Coriender,Vegetables,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Garlic,Aroma to dish,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Peanuts,Nuts,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,ごま,,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,ナンプラ,Oils and sauces,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Lemon,Aroma to dish,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Brown sugar,Cake ingredient,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Salt,Others,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Chilli flakes,Spices,Yes
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Napi,Aroma to dish,Yes
Tom Kha Gai,Thai,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Green papaya,Fruits,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Beans,Vegetables,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Cherry tomato,Vegetables,No
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Peanuts,Nuts,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Dried shrimps,,No
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Garlic,Aroma to dish,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Green Chilies,Spices,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Brown sugar,Cake ingredient,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Lemon,Aroma to dish,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Tamarind,Fruits,Yes
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,ナンプラ,Oils and sauces,Yes
Lao Green Papaya Salad (Som Tum Pla Ra),Thai,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Samposha,Shri lankan,Dessert,Laddoo,Medium,Not planned,⚠️ No ingredients linked,,,,(no ingredients linked),,
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,sweet potato,Vegetables,No
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Tuna can,Meat,No
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Onion,Vegetables,Yes
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Unsalted butter,Dairy,Yes
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Salt,Others,Yes
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Black pepper,,Yes
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Parsley,Pasta,Yes
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,Soy Sauce,Oils and sauces,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Mustard green,Vegetables,No
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Eggs,Meat,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Garlic,Aroma to dish,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Onion,Vegetables,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Green Chilies,Spices,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Soy Sauce,Oils and sauces,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Salt,Others,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Black pepper,,Yes
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Canora Cooking Oil,Oils and sauces,Yes
Chinese-Style Mustard Greens with Oyster Sauce (Ultra Simple),Myanmar,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Vietnamese Iced Coffee,,Breakfast,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Nestlé Carnation,,Nestlé Carnation – Sweetened Condensed Milk,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Pumpkin,Vegetables,No
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Canora Cooking Oil,Oils and sauces,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Garlic,Aroma to dish,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Eggs,Meat,Yes
